Age_old_vs_young.baseMean	Age_old_vs_young.log2FoldChange	Age_old_vs_young.lfcSE	Age_old_vs_young.stat	Age_old_vs_young.pvalue	Age_old_vs_young.padj	Regime_Sel_vs_Cont.baseMean	Regime_Sel_vs_Cont.log2FoldChange	Regime_Sel_vs_Cont.lfcSE	Regime_Sel_vs_Cont.stat	Regime_Sel_vs_Cont.pvalue	Regime_Sel_vs_Cont.padj	Ageold.RegimeSel.baseMean	Ageold.RegimeSel.log2FoldChange	Ageold.RegimeSel.lfcSE	Ageold.RegimeSel.stat	Ageold.RegimeSel.pvalue	Ageold.RegimeSel.padj
DMW1DOC	21.9677401278226	-0.264666401713045	0.287297698846744	-0.921227015654685	0.356931916402794	0.513387437383271	21.9677401278226	-0.110271444134445	0.280472149544346	-0.393163614688987	0.694198641526078	0.817474934042661	21.9677401278226	0.653053548101043	0.397209342777307	1.64410419839287	0.100154680892142	0.281428496256864
DMZAM	10.0981333162487	-0.462022269469852	0.538394623844732	-0.85814799964105	0.390810745532712	0.546305995337971	10.0981333162487	-0.801983457902241	0.545486671400158	-1.47021641398443	0.141503150581494	0.313932266328373	10.0981333162487	0.565306177062418	0.778253718896594	0.726377739465104	0.467607233892931	0.672946652790944
DOC2	16.3906650499953	-0.524263623248093	0.297058154964204	-1.76485181264008	0.0775886740942942	0.175636350918156	16.3906650499953	-0.209476365891134	0.281963712623127	-0.742919590405307	0.457530364289596	0.651306836091138	16.3906650499953	0.845836945885831	0.407288314327233	2.07675230575422	0.0378244262586563	0.157231510442387
DOC3	39.2548988261041	-0.281080567587277	0.191696955563026	-1.4662755950491	0.142573221348471	0.272522772056712	39.2548988261041	-0.636111457416599	0.197182796891869	-3.22599875568977	0.00125533902773856	0.0111382497532637	39.2548988261041	0.711306461092276	0.277322027083593	2.56491151666747	0.0103202119221569	0.0729395271601662
DOC4	15.405129808739	-0.401021266379956	0.280362720511369	-1.43036586907314	0.152612038786883	0.284352813503595	15.405129808739	-1.02482891799421	0.300823042772084	-3.40675005661272	0.000657412994608726	0.0070933120626905	15.405129808739	0.872814753403248	0.422103013624115	2.06777664511179	0.0386610308082448	0.159260799086161
DOC5	10.6730760113578	-0.364682603574982	0.354424275338668	-1.02894363888171	0.303506160344786	0.460038248204591	10.6730760113578	-0.403147760635661	0.351648848241974	-1.14644982530484	0.251609076622019	0.44942753250533	10.6730760113578	0.56123580873047	0.504091893438546	1.11336011555776	0.265553797395999	0.486656391151705
F	9.29712694278638	-0.500429003246854	0.354564425262998	-1.41139089990673	0.158129384739588	0.291305332452034	9.29712694278638	-0.565817115689729	0.352554629200531	-1.60490621545036	0.108514445509714	0.26536159151475	9.29712694278638	0.945041094348103	0.503030771667874	1.87869440116889	0.0602862327456762	0.209417344274879
FB	32.3075018054644	-0.430176342296872	0.287387545301994	-1.49685102687673	0.134432025527981	0.260308278285344	32.3075018054644	-1.325361553378	0.302238649112812	-4.38514914379234	1.15906336990887e-05	0.000312132891805625	32.3075018054644	0.766958207007755	0.426806240124196	1.79697046318859	0.0723403089883321	0.234438707663019
FROGGER	27.4322416776738	-0.565737448573059	0.232593833288696	-2.43229771217049	0.0150033695876884	0.0520684315714577	27.4322416776738	-1.41679252442383	0.253219523510872	-5.59511567188855	2.2047472647761e-08	2.37493188835469e-06	27.4322416776738	0.877305356949763	0.359234447928104	2.44215264435148	0.0145999719816626	0.0894758059434855
FW2	17.2360119161693	-0.392030867733667	0.259853849559021	-1.50865907277862	0.131385929613559	0.256131062943311	17.2360119161693	-1.0382840317961	0.280345933416645	-3.70358156846533	0.000212576786413429	0.00299862103258943	17.2360119161693	0.862698644552035	0.393020033713273	2.19505004974229	0.0281600077185998	0.131832451543472
FW3	8.97880127652902	-0.162187542221054	0.367938128001947	-0.440801128988175	0.659356976132575	0.777536733376941	8.97880127652902	-0.943664358485233	0.401801625302332	-2.34858273103097	0.0188450122173686	0.0787246971822267	8.97880127652902	0.780528091975906	0.553093344176514	1.41120499856677	0.158184176717823	0.361366401040458
G2	7.31957163544149	-0.51689361509732	0.403886518398939	-1.2797991305735	0.200615789735975	0.343845860283026	7.31957163544149	-0.104723059811392	0.375201223380217	-0.279111722685587	0.780159087089998	0.873590510406447	7.31957163544149	0.435144992067649	0.557204511733079	0.780943052155506	0.434835989374949	0.644440800249012
G3	21.2567199579177	-0.335505773098314	0.242880357949143	-1.38136231324464	0.167167587415396	0.30324342563368	21.2567199579177	-0.781974319918279	0.253206965011892	-3.08828124013711	0.00201317851012121	0.0155603278377091	21.2567199579177	0.332001609744695	0.365251475922912	0.908967195562449	0.363367442084542	0.582747048235177
G4_DM	23.1078129140075	-0.228171877102813	0.223192936006789	-1.02230778977643	0.306635247514379	0.463345901545145	23.1078129140075	-0.866078320424217	0.239204400529598	-3.62066215549013	0.000293850015234249	0.00380136678200457	23.1078129140075	0.33805079766852	0.340849455181076	0.991789168296986	0.32130038259505	0.543633086839106
G5_DM	38.8158320177719	-0.2635391945578	0.224624506269397	-1.17324328914376	0.240698256960492	0.390328684029828	38.8158320177719	-0.983977941883894	0.236084977848523	-4.16789730058655	3.07422377611265e-05	0.000676303691732078	38.8158320177719	0.515808807525174	0.333606007621832	1.54616162701087	0.122065538351793	0.312718112031568
G5A	31.9470958651838	-0.363695389996162	0.190550775077308	-1.90865342766833	0.0563068147819606	0.139038526660922	31.9470958651838	-1.10500891860184	0.207534166122837	-5.32446748044272	1.01249212776936e-07	7.76283670196817e-06	31.9470958651838	0.554660427145253	0.295400622975409	1.87765489983895	0.0604283901804391	0.209778303885891
